node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
IGHV2-5	IGHA1	up	up	u	1.19039662384072	2.79464981329531	0.0381957453086016	0.0205654577537117	IGHV2-5|IGHA1
IGKV1D-16	IGHA2	up	up	u	2.72294358669483	2.77554970340833	0.00139973247615749	0.0165991858907524	IGKV1D-16|IGHA2
IGHV2-5	IGHA2	up	up	u	1.19039662384072	2.77554970340833	0.0381957453086016	0.0165991858907524	IGHV2-5|IGHA2
IGKV1D-16	IGHG1	up	up	u	2.72294358669483	2.64087038305269	0.00139973247615749	0.0021897389139426	IGKV1D-16|IGHG1
IGHV2-5	IGHG1	up	up	u	1.19039662384072	2.64087038305269	0.0381957453086016	0.0021897389139426	IGHV2-5|IGHG1
IGKV1D-16	IGHG4	up	up	u	2.72294358669483	2.69255345801038	0.00139973247615749	0.00201197329793369	IGKV1D-16|IGHG4
IGHG1	IGHG4	up	up	u	2.64087038305269	2.69255345801038	0.0021897389139426	0.00201197329793369	IGHG1|IGHG4
IGHV2-5	IGHG4	up	up	u	1.19039662384072	2.69255345801038	0.0381957453086016	0.00201197329793369	IGHV2-5|IGHG4
IGKV1D-16	IGHV2-5	up	up	u	2.72294358669483	1.19039662384072	0.00139973247615749	0.0381957453086016	IGKV1D-16|IGHV2-5
IGHA2	IGKV4-1	up	up	u	2.77554970340833	2.85056775579267	0.0165991858907524	0.00070356196373004	IGHA2|IGKV4-1
IGHG4	IGKV4-1	up	up	u	2.69255345801038	2.85056775579267	0.00201197329793369	0.00070356196373004	IGHG4|IGKV4-1
IGKV1D-16	IGKV4-1	up	up	u	2.72294358669483	2.85056775579267	0.00139973247615749	0.00070356196373004	IGKV1D-16|IGKV4-1
IGHV2-5	IGKV4-1	up	up	u	1.19039662384072	2.85056775579267	0.0381957453086016	0.00070356196373004	IGHV2-5|IGKV4-1
IGHA1	IGKV4-1	up	up	u	2.79464981329531	2.85056775579267	0.0205654577537117	0.00070356196373004	IGHA1|IGKV4-1
IGHG1	IGKV4-1	up	up	u	2.64087038305269	2.85056775579267	0.0021897389139426	0.00070356196373004	IGHG1|IGKV4-1
IGLC6	IGLC2	up	up	u	2.90550094438991	2.61101477021537	0.00115390168968066	0.00245479150918301	IGLC6|IGLC2
CD3G	IGLC2	up	up	u	1.40689904296256	2.61101477021537	0.00468632321009627	0.00245479150918301	CD3G|IGLC2
